time,state,obs,action,value,belief,stock,quota
1,61,61,1,0,0.99,6.02510460251046,0
2,75,75,26,2.460502092050209,8.977239359016203e-30,7.430962343096234,2.510460251046025
3,54,54,5,0.38974353138075313,4.65753162356381e-83,5.322175732217573,0.401673640167364
4,58,58,9,0.7716921921338912,1.9557321829294232e-127,5.7238493723849375,0.803347280334728
5,56,56,7,0.5729814526594141,4.029368614424244e-176,5.523012552301255,0.602510460251046
6,60,60,11,0.9454193968880334,1.8713871328951706e-216,5.924686192468619,1.00418410041841
7,55,55,6,0.4679826014595765,2.1109460737398325e-267,5.422594142259414,0.502092050209205
8,56,56,7,0.555963330533977,4.34915326e-316,5.523012552301255,0.602510460251046
9,56,56,7,0.5504036972286371,0,5.523012552301255,0.602510460251046
10,58,58,9,0.726532880341801,0,5.7238493723849375,0.803347280334728
11,57,57,8,0.6293591075960852,0,5.623430962343096,0.702928870292887
12,56,56,7,0.5340561570172494,0,5.523012552301255,0.602510460251046
13,54,54,5,0.3524770636313846,0,5.322175732217573,0.401673640167364
14,60,60,11,0.8723807324876769,0,5.924686192468619,1.00418410041841
15,57,57,8,0.60455984761396,0,5.623430962343096,0.702928870292887
16,52,52,3,0.1710040711822344,0,5.121338912133891,0.200836820083682
17,58,58,9,0.6771761218816482,0,5.7238493723849375,0.803347280334728
18,54,54,5,0.3352021803314159,0,5.322175732217573,0.401673640167364
19,56,56,7,0.49777523779215266,0,5.523012552301255,0.602510460251046
20,53,53,4,0.24639874270711556,0,5.2217573221757325,0.301255230125523
21,58,58,9,0.650492680746785,0,5.7238493723849375,0.803347280334728
22,59,59,10,0.7244862231817318,0,5.824267782426778,0.9037656903765691
23,57,57,8,0.5578543918499335,0,5.623430962343096,0.702928870292887
24,53,53,4,0.23668964911347176,0,5.2217573221757325,0.301255230125523
25,56,56,7,0.46864550524467413,0,5.523012552301255,0.602510460251046
26,53,53,4,0.23197952509611366,0,5.2217573221757325,0.301255230125523
27,54,54,5,0.30621297312687,0,5.322175732217573,0.401673640167364
28,53,53,4,0.22736313254670104,0,5.2217573221757325,0.301255230125523
29,58,58,9,0.6002386699232907,0,5.7238493723849375,0.803347280334728
30,51,51,2,0.07427953540300722,0,5.02092050209205,0.100418410041841
31,59,59,10,0.6618306604407944,0,5.824267782426778,0.9037656903765691
32,54,54,5,0.29120549059394946,0,5.322175732217573,0.401673640167364
33,54,54,5,0.28829343568801,0,5.322175732217573,0.401673640167364
34,61,61,12,0.7848788786606071,0,6.02510460251046,1.104602510460251
35,56,56,7,0.4238345944767279,0,5.523012552301255,0.602510460251046
36,55,55,6,0.34966354044330045,0,5.422594142259414,0.502092050209205
37,54,54,5,0.27693352403109395,0,5.322175732217573,0.401673640167364
38,58,58,9,0.548328377581566,0,5.7238493723849375,0.803347280334728
39,57,57,8,0.4749894570800316,0,5.623430962343096,0.702928870292887
40,57,57,8,0.47023956250923127,0,5.623430962343096,0.702928870292887
41,57,57,8,0.465537166884139,0,5.623430962343096,0.702928870292887
42,60,60,11,0.6584025645932823,0,5.924686192468619,1.00418410041841
43,50,50,1,0,0,4.920502092050209,0
44,60,60,11,0.645300353557876,0,5.924686192468619,1.00418410041841
45,57,57,8,0.447193145015608,0,5.623430962343096,0.702928870292887
46,58,58,9,0.5059671012176594,0,5.7238493723849375,0.803347280334728
47,60,60,11,0.6261342877568535,0,5.924686192468619,1.00418410041841
48,55,55,6,0.30993647243964245,0,5.422594142259414,0.502092050209205
49,52,52,3,0.12273484308609842,0,5.121338912133891,0.200836820083682
50,56,56,7,0.3645224839657123,0,5.523012552301255,0.602510460251046
