time,belief,stock,quota,method
1,0.99,6.02510460251046,0.100418410041841,learning
2,1.3427785242963454e-8,7.02928870292887,3.01255230125523,learning
3,1.0881764725147063e-24,4.317991631799163,0,learning
4,2.377245063821365e-39,4.820083682008368,0,learning
5,5.137280464733629e-53,5.422594142259414,0.702928870292887,learning
6,2.0999694505638763e-65,5.523012552301255,1.00418410041841,learning
7,7.320471285958672e-84,4.518828451882845,0,learning
8,1.918378443492958e-98,5.02092050209205,0,learning
9,1.2047383827715121e-112,5.523012552301255,0.200836820083682,learning
10,2.3037288834252617e-125,6.02510460251046,0.803347280334728,learning
11,1.508466436279326e-137,6.02510460251046,1.00418410041841,learning
12,5.095893766171063e-148,6.125523012552301,1.606694560669456,learning
13,1.3231833663493522e-162,5.02092050209205,0.401673640167364,learning
14,1.0018334312283484e-175,5.322175732217573,0.9037656903765691,learning
15,2.2435415702752551e-190,4.920502092050209,0.401673640167364,learning
16,1.539653802799757e-203,5.2217573221757325,0.9037656903765691,learning
17,1.6879290761953092e-217,4.920502092050209,0.702928870292887,learning
18,1.6921584447425973e-231,4.820083682008368,0.702928870292887,learning
19,4.922122122497321e-244,4.920502092050209,1.00418410041841,learning
20,1.3099259626002786e-260,4.2175732217573225,0,learning
1,0.99,6.02510460251046,0.100418410041841,planning
2,0.99,7.02928870292887,0,planning
3,0.99,8.435146443514645,0,planning
4,0.99,10.242677824267782,1.606694560669456,planning
5,0.99,10.242677824267782,1.606694560669456,planning
6,0.99,10.644351464435147,2.00836820083682,planning
7,0.99,9.138075313807532,0.502092050209205,planning
8,0.99,9.94142259414226,1.3054393305439331,planning
9,0.99,9.841004184100418,1.205020920502092,planning
10,0.99,10.142259414225942,1.506276150627615,planning
11,0.99,10.343096234309623,1.707112970711297,planning
12,0.99,9.338912133891213,0.702928870292887,planning
13,0.99,10.242677824267782,1.606694560669456,planning
14,0.99,9.640167364016737,1.00418410041841,planning
15,0.99,10.242677824267782,1.606694560669456,planning
16,0.99,10.644351464435147,2.00836820083682,planning
17,0.99,10.644351464435147,2.00836820083682,planning
18,0.99,9.640167364016737,1.00418410041841,planning
19,0.99,11.347280334728033,2.711297071129707,planning
20,0.99,10.0418410041841,1.405857740585774,planning
