time,model,mean_npv
1,1,0
2,1,0.0028938457205020915
3,1,0.595671807569299
4,1,2.065268211280778
5,1,3.5637422769857423
6,1,4.997683058577057
7,1,6.3847684232324635
8,1,7.736555605928026
9,1,9.070660283647062
10,1,10.483346408501191
11,1,11.763272069455583
12,1,13.00904858928949
13,1,14.31509331558061
14,1,15.56180115904502
15,1,16.79558424208897
16,1,18.00845511041277
17,1,19.187200480910338
18,1,20.335495547726136
19,1,21.47464775215184
20,1,22.567618849584008
21,1,23.67110154784235
22,1,24.730684728384382
23,1,25.759695320485797
24,1,26.724217622717966
25,1,27.67987406818141
26,1,28.702257387148478
27,1,29.68620373781271
28,1,30.607098736294613
29,1,31.562364510439107
30,1,32.46949985763959
31,1,33.30096242472233
32,1,34.17499199795312
33,1,35.01817877760246
34,1,35.83393917431382
35,1,36.637938121158804
36,1,37.44444427263062
37,1,38.217239781926594
38,1,39.00787259535282
39,1,39.74746575663576
40,1,40.47009403553003
41,1,41.17790155895282
42,1,41.89493484912506
43,1,42.614623061896864
44,1,43.30796383190778
45,1,44.00620268954261
46,1,44.691343269002914
47,1,45.352698874577214
48,1,45.98558784530015
49,1,46.61600805160337
50,1,47.21256419207513
51,1,47.82246631891239
52,1,48.38033331107474
53,1,48.92813691231905
54,1,49.4697875682878
55,1,50.01628302991097
56,1,50.53040023104016
57,1,51.04290812804072
58,1,51.56462095425902
59,1,52.07319106136107
60,1,52.57464695362113
61,1,53.04697159556749
62,1,53.53848687905777
63,1,53.99701172602904
64,1,54.4358704423137
65,1,54.883124758863225
66,1,55.31908042539435
67,1,55.74218179520045
68,1,56.15379173180263
69,1,56.539648862681055
70,1,56.93848218321795
71,1,57.35155041084025
72,1,57.752619367945066
73,1,58.14547555240017
74,1,58.515765818339716
75,1,58.897144712178694
76,1,59.251754299010486
77,1,59.603793086211915
78,1,59.951129314514475
79,1,60.2972991086225
80,1,60.62310541842246
81,1,60.941639731387696
82,1,61.25982410996814
83,1,61.574706151989915
84,1,61.8874047530811
85,1,62.19788211775326
86,1,62.50717241123589
87,1,62.79598096668821
88,1,63.07801478627832
89,1,63.35477179933895
90,1,63.631449628676855
91,1,63.90487864838305
92,1,64.16701999902756
93,1,64.40985181868889
94,1,64.66105661267797
95,1,64.90651860704132
96,1,65.14155533958008
97,1,65.38477610363543
98,1,65.61307251578968
99,1,65.83998308468668
100,1,66.06829790467057
1,2,1.082620920502092
2,2,1.5986900739916317
3,2,2.164996292727564
4,2,2.7209596232615407
5,2,3.225899975099092
6,2,3.7688570680666293
7,2,4.281816938769383
8,2,4.793119111604264
9,2,5.278324267633988
10,2,5.776049727902362
11,2,6.222816232197763
12,2,6.718286564341964
13,2,7.185338674868806
14,2,7.604444715863226
15,2,8.049379132927239
16,2,8.478907231553315
17,2,8.894179510990108
18,2,9.34454615108108
19,2,9.724948963028291
20,2,10.130698528393399
21,2,10.52639846971396
22,2,10.896800872656183
23,2,11.29524996486509
24,2,11.704985981430296
25,2,12.069508465396009
26,2,12.420822477155223
27,2,12.751722584407075
28,2,13.093769298128922
29,2,13.429569884227838
30,2,13.746050780646662
31,2,14.081543772416445
32,2,14.419332979462164
