model,reps,value,state_index,time,action_index,state
1,1,0,61,1,1,6.02510460251046
1,1,0,75,2,1,7.430962343096234
1,1,0.38974353138075313,84,3,5,8.334728033472803
1,1,2.1221535283682007,102,4,23,10.142259414225942
1,1,2.2919258106376565,104,5,25,10.343096234309623
1,1,1.7962968540872635,99,6,20,9.841004184100418
1,1,1.4039478043787295,95,7,16,9.439330543933055
1,1,1.297247771245946,94,8,15,9.338912133891213
1,1,1.1925413439953805,93,9,14,9.238493723849372
1,1,0.9989827104699764,91,10,12,9.03765690376569
1,1,2.6073448743266385,109,11,30,10.845188284518828
1,1,1.4241497520459985,96,12,17,9.539748953974895
1,1,1.4980275204333844,97,13,18,9.640167364016737
1,1,0.9596188057364445,91,14,12,9.03765690376569
1,1,1.3818510802604802,96,15,17,9.539748953974895
1,1,1.1970284982756407,94,16,15,9.338912133891213
1,1,1.6082932894689146,99,17,20,9.841004184100418
1,1,1.1732076311599555,94,18,15,9.338912133891213
1,1,1.5762882530084832,99,19,20,9.841004184100418
1,1,1.2319937135355776,95,20,16,9.439330543933055
1,1,2.1141012124270513,106,21,27,10.543933054393305
1,1,1.5294709156058781,99,22,20,9.841004184100418
1,1,1.115708783699867,94,23,15,9.338912133891213
1,1,2.130206842021246,107,24,28,10.644351464435147
1,1,0.8591834262819026,91,25,12,9.03765690376569
1,1,0.9279181003844547,92,26,13,9.138075313807532
1,1,1.071745405944045,94,27,15,9.338912133891213
1,1,1.5915419278269074,101,28,22,10.0418410041841
1,1,1.5005966748082264,100,29,21,9.94142259414226
1,1,1.1141930310451083,95,30,16,9.439330543933055
1,1,0.955977620636703,93,31,14,9.238493723849372
1,1,0.7280137264848736,90,32,11,8.93723849372385
1,1,1.15317374275204,96,33,17,9.539748953974895
1,1,1.070289379991737,95,34,16,9.439330543933055
1,1,1.4834210806685477,101,35,22,10.0418410041841
1,1,0.9790579132412413,94,36,15,9.338912133891213
1,1,0.9692673341088288,94,37,15,9.338912133891213
1,1,0.6168694247792619,89,38,10,8.836820083682008
1,1,1.6285352814172513,104,39,25,10.343096234309623
1,1,0.8061249643015395,92,40,13,9.138075313807532
1,1,1.130590262432909,97,41,18,9.640167364016737
1,1,1.448485642105221,102,42,23,10.142259414225942
1,1,1.2384552239999638,99,43,20,9.841004184100418
1,1,1.6132508838946897,105,44,26,10.443514644351465
1,1,1.4054641700490538,102,45,23,10.142259414225942
1,1,1.1384259777397336,98,46,19,9.740585774058577
1,1,1.1270417179623364,98,47,19,9.740585774058577
1,1,0.9917967118068559,96,48,17,9.539748953974895
1,1,0.9818787446887873,96,49,17,9.539748953974895
1,1,0.9720599572418994,96,50,17,9.539748953974895
1,1,0.7217545182521103,92,51,13,9.138075313807532
1,1,1.607708189406576,107,52,28,10.644351464435147
1,1,0.5894930027824111,90,53,11,8.93723849372385
1,1,1.0504765309582567,98,54,19,9.740585774058577
1,1,0.8666431380405617,95,55,16,9.439330543933055
1,1,0.6291829182174478,91,56,12,9.03765690376569
1,1,0.7361440143144139,93,57,14,9.238493723849372
1,1,0.6166621781449205,91,58,12,9.03765690376569
1,1,0.8879935365286856,96,59,17,9.539748953974895
1,1,1.043947401381536,99,60,20,9.841004184100418
1,1,0.8159273110797793,95,61,16,9.439330543933055
1,1,1.1847264556878396,102,62,23,10.142259414225942
1,1,0.9596284291071502,98,63,19,9.740585774058577
1,1,0.26389781800446627,85,64,6,8.435146443514645
1,1,1.1495388952274552,102,65,23,10.142259414225942
1,1,1.4484190079865933,108,66,29,10.744769874476987
1,1,0.7681793667357468,95,67,16,9.439330543933055
1,1,1.3181957933185418,106,68,27,10.543933054393305
1,1,0.853278276982733,97,69,18,9.640167364016737
1,1,0.5962909370914627,92,70,13,9.138075313807532
1,1,1.2790440600611879,106,71,27,10.543933054393305
1,1,1.0227433080258497,101,72,22,10.0418410041841
1,1,0.626795541632985,93,73,14,9.238493723849372
1,1,0.66826047746409,94,74,15,9.338912133891213
1,1,0.6615778726894491,94,75,15,9.338912133891213
1,1,0.7485281073857768,96,76,17,9.539748953974895
1,1,0.5557821197339393,92,77,13,9.138075313807532
1,1,0.3209641741463499,87,78,8,8.635983263598327
1,1,0.5447220555512339,92,79,13,9.138075313807532
1,1,0.5842144045786984,93,80,14,9.238493723849372
1,1,0.7563329560814994,97,81,18,9.640167364016737
1,1,0.39640744933448,89,82,10,8.836820083682008
1,1,0.5668626525483065,93,83,14,9.238493723849372
1,1,0.6907003397203979,96,84,17,9.539748953974895
1,1,0.683793336323194,96,85,17,9.539748953974895
1,1,0.7192651156449597,97,86,18,9.640167364016737
1,1,0.7539590800466577,98,87,19,9.740585774058577
1,1,0.41467749402566173,90,88,11,8.93723849372385
1,1,0.5336899348110267,93,89,14,9.238493723849372
1,1,0.40642541189455106,90,90,11,8.93723849372385
1,1,0.6437778524409689,96,91,17,9.539748953974895
1,1,0.9958438654946237,105,92,26,10.443514644351465
1,1,0.394354170735871,90,93,11,8.93723849372385
1,1,0.6246570064456196,96,94,17,9.539748953974895
1,1,0.4638078272858726,92,95,13,9.138075313807532
1,1,0.42090560326192933,91,96,12,9.03765690376569
1,1,0.49245955581645734,93,97,14,9.238493723849372
1,1,0.412529581757017,91,98,12,9.03765690376569
1,1,0.4084042859394468,91,99,12,9.03765690376569
1,1,0.6248585574873536,97,100,18,9.640167364016737
1,2,0,61,1,1,6.02510460251046
1,2,0,70,2,1,6.928870292887029
1,2,0,80,3,1,7.933054393305439
1,2,0.5787691441004184,86,4,7,8.535564853556485
1,2,1.1459629053188283,92,5,13,9.138075313807532
1,2,1.2290452159544436,93,6,14,9.238493723849372
1,2,2.2463164870059673,104,7,25,10.343096234309623
1,2,1.111926661067954,92,8,13,9.138075313807532
1,2,0.8256055458429558,89,9,10,8.836820083682008
1,2,1.6346989807690524,98,10,19,9.740585774058577
1,2,1.3486266591344682,95,11,16,9.439330543933055
1,2,1.0681123140344988,92,12,13,9.138075313807532
1,2,1.2336697227098459,94,13,15,9.338912133891213
1,2,1.919237611472889,102,14,23,10.142259414225942
1,2,1.20911969522792,94,15,15,9.338912133891213
1,2,0.8550203559111721,90,16,11,8.93723849372385
1,2,2.0315283656449448,104,17,25,10.343096234309623
1,2,2.346415262319911,108,18,29,10.744769874476987
1,2,1.6592507926405087,100,19,21,9.94142259414226
1,2,1.3141266277712829,96,20,17,9.539748953974895
1,2,1.4636085316802663,98,21,19,9.740585774058577
1,2,1.609969384848293,100,22,21,9.94142259414226
1,2,1.0360152991498766,93,23,14,9.238493723849372
1,2,1.34124134497634,97,24,18,9.640167364016737
1,2,1.6402592683563595,101,25,22,10.0418410041841
1,2,0.8505915920190834,91,26,12,9.03765690376569
1,2,0.7655324328171751,90,27,11,8.93723849372385
1,2,1.970480482071409,106,28,27,10.543933054393305
1,2,1.12544750610617,95,29,16,9.439330543933055
1,2,1.33703163725413,98,30,19,9.740585774058577
1,2,1.6178082810774974,102,31,23,10.142259414225942
1,2,1.1648219623757978,96,32,17,9.539748953974895
1,2,1.5135405373620527,101,33,22,10.0418410041841
1,2,0.7135262533278247,90,34,11,8.93723849372385
1,2,1.4834210806685477,101,35,22,10.0418410041841
1,2,1.8182504103051627,106,36,27,10.543933054393305
1,2,0.6231004290699614,89,37,10,8.836820083682008
1,2,1.4393619911516111,101,38,22,10.0418410041841
1,2,1.017834550885782,95,39,16,9.439330543933055
1,2,1.1420103660938474,97,40,18,9.640167364016737
1,2,0.66505309554877,90,41,11,8.93723849372385
1,2,0.855923333971267,93,42,14,9.238493723849372
1,2,1.368818931789434,101,43,22,10.0418410041841
1,2,0.9679505303368139,95,44,16,9.439330543933055
1,2,0.7666168200267566,92,45,13,9.138075313807532
1,2,1.0751800900875261,97,46,18,9.640167364016737
1,2,0.4382940014297974,87,47,8,8.635983263598327
1,2,1.7976315401499265,109,48,30,10.845188284518828
1,2,0.7977764800596397,93,49,14,9.238493723849372
1,2,0.4860299786209497,88,50,9,8.736401673640167
1,2,0.8420469379607953,94,51,15,9.338912133891213
1,2,0.595447477557991,90,52,11,8.93723849372385
1,2,1.1789860055648222,100,53,21,9.94142259414226
1,2,0.583598072754587,90,54,11,8.93723849372385
1,2,0.8088669288378576,94,55,15,9.338912133891213
1,2,0.857976706660156,95,56,16,9.439330543933055
1,2,1.2457821780705465,102,57,23,10.142259414225942
1,2,1.1772641582766665,101,58,22,10.0418410041841
1,2,1.0544923246278142,99,59,20,9.841004184100418
1,2,1.2637258016723856,103,60,24,10.242677824267782
1,2,0.6527418488638236,92,61,13,9.138075313807532
1,2,0.5923632278439198,91,62,12,9.03765690376569
1,2,1.0662538101190557,100,63,21,9.94142259414226
1,2,1.2139299628205447,103,64,24,10.242677824267782
1,2,0.5225176796488432,90,65,11,8.93723849372385
1,2,0.7242095039932966,94,66,15,9.338912133891213
1,2,0.6657554511709807,93,67,14,9.238493723849372
1,2,0.20279935281823716,84,68,5,8.334728033472803
1,2,0.7528925973377054,95,69,16,9.439330543933055
1,2,1.142890962758637,103,70,24,10.242677824267782
1,2,0.6887160323406395,94,71,15,9.338912133891213
1,2,1.314955681747521,107,72,28,10.644351464435147
1,2,0.7232256249611365,95,73,16,9.439330543933055
1,2,0.5250618037217851,91,74,12,9.03765690376569
1,2,0.8506001220292919,98,75,19,9.740585774058577
1,2,0.6549620939625547,94,76,15,9.338912133891213
1,2,0.5094669430894444,91,77,12,9.03765690376569
1,2,0.9628925224390499,101,78,22,10.0418410041841
1,2,0.36314803703415593,88,79,9,8.736401673640167
1,2,0.44939569582976796,90,80,11,8.93723849372385
1,2,1.0232739994043816,103,81,24,10.242677824267782
1,2,0.6606790822241333,95,82,16,9.439330543933055
1,2,0.8284915691090632,99,83,20,9.841004184100418
1,2,0.6475315684878731,95,84,16,9.439330543933055
1,2,0.7692675033635933,98,85,19,9.740585774058577
1,2,1.1423622424949358,107,86,28,10.644351464435147
1,2,0.41886615558147644,90,87,11,8.93723849372385
1,2,0.5805484916359264,94,88,15,9.338912133891213
1,2,1.0263267977135127,105,89,26,10.443514644351465
1,2,0.6909232002207368,97,90,18,9.640167364016737
1,2,0.6840139682185294,97,91,18,9.640167364016737
1,2,0.8763426016352689,102,92,23,10.142259414225942
1,2,0.9464500097660904,104,93,25,10.343096234309623
1,2,0.7027391322513221,98,94,19,9.740585774058577
1,2,0.6957117409288089,98,95,19,9.740585774058577
1,2,0.19132072875542241,85,96,6,8.435146443514645
1,2,0.6061040686971783,96,97,17,9.539748953974895
1,2,0.6750484065114823,98,98,19,9.740585774058577
1,2,0.37127662358131525,90,99,11,8.93723849372385
1,2,0.5513457860182531,95,100,16,9.439330543933055
1,3,0,61,1,1,6.02510460251046
1,3,0,74,2,1,7.330543933054393
1,3,0.19487176569037656,82,3,3,8.133891213389122
1,3,1.6398459082845187,97,4,18,9.640167364016737
1,3,1.2414598140953974,93,5,14,9.238493723849372
1,3,1.9853807334648705,101,6,22,10.0418410041841
1,3,2.0591234464221366,102,7,23,10.142259414225942
1,3,1.5752294365129347,97,8,18,9.640167364016737
1,3,1.467743192609699,96,9,17,9.539748953974895
1,3,1.8163322008545024,100,10,21,9.94142259414226
1,3,1.0789013273075745,92,11,13,9.138075313807532
1,3,1.6021684710517483,98,12,19,9.740585774058577
1,3,1.8505045840647691,101,13,22,10.0418410041841
1,3,1.2213330254827475,94,14,15,9.338912133891213
1,3,1.5545824652930402,98,15,19,9.740585774058577
1,3,2.13755088977793,105,16,26,10.443514644351465
1,3,1.6082932894689146,99,17,20,9.841004184100418
1,3,1.1732076311599555,94,18,15,9.338912133891213
1,3,1.0785130152163307,93,19,14,9.238493723849372
1,3,0.9855949708284623,92,20,13,9.138075313807532
1,3,1.219673776400222,95,21,16,9.439330543933055
1,3,1.368473977121049,97,22,18,9.640167364016737
1,3,1.3547892373498385,97,23,18,9.640167364016737
1,3,1.34124134497634,97,24,18,9.640167364016737
1,3,1.015398594696794,93,25,14,9.238493723849372
1,3,1.8558362007689093,104,26,25,10.343096234309623
1,3,0.8420856760988926,91,27,12,9.03765690376569
1,3,1.8189050603736083,104,28,25,10.343096234309623
1,3,1.425566841067815,99,29,20,9.841004184100418
1,3,1.411311172657137,99,30,20,9.841004184100418
1,3,1.470734800979543,100,31,21,9.94142259414226
1,3,1.3104247076727726,98,32,19,9.740585774058577
1,3,1.44146717844005,100,33,21,9.94142259414226
1,3,0.9275841293261722,93,34,14,9.238493723849372
1,3,1.4834210806685477,101,35,22,10.0418410041841
1,3,0.769259788975261,91,36,12,9.03765690376569
1,3,0.9000339531010555,93,37,14,9.238493723849372
1,3,0.3427052359884788,85,38,6,8.435146443514645
1,3,0.5428450938057504,88,39,9,8.736401673640167
1,3,0.873302044660001,93,40,14,9.238493723849372
1,3,0.931074333768278,94,41,15,9.338912133891213
1,3,1.6460064114832056,105,42,26,10.443514644351465
1,3,1.6947282012631086,106,43,27,10.543933054393305
1,3,1.5487208485389024,104,44,25,10.343096234309623
1,3,1.4054641700490538,102,45,23,10.142259414225942
1,3,0.7589506518264891,92,46,13,9.138075313807532
1,3,1.3148820042893925,101,47,22,10.0418410041841
1,3,1.5496823621982123,105,48,26,10.443514644351465
1,3,0.7977764800596397,93,49,14,9.238493723849372
1,3,0.850552462586662,94,50,15,9.338912133891213
1,3,1.3232166167955355,102,51,23,10.142259414225942
1,3,1.012260711848585,97,52,18,9.640167364016737
1,3,0.4126451019476878,87,53,8,8.635983263598327
1,3,0.9337569164073392,96,54,17,9.539748953974895
1,3,1.039971765648674,98,55,19,9.740585774058577
1,3,0.5147860239960936,89,56,10,8.836820083682008
1,3,1.3024086407101167,103,57,24,10.242677824267782
1,3,0.8969631682107935,96,58,17,9.539748953974895
1,3,0.8324939404956427,95,59,16,9.439330543933055
1,3,0.9340582012361113,97,60,18,9.640167364016737
1,3,0.7071370029358088,93,61,14,9.238493723849372
1,3,1.4001312658129015,106,62,27,10.543933054393305
1,3,0.5331269050595279,90,63,11,8.93723849372385
1,3,0.5277956360089325,90,64,11,8.93723849372385
1,3,0.4180141437190746,88,65,9,8.736401673640167
1,3,1.086314255989945,101,66,22,10.0418410041841
1,3,0.81939132451813,96,67,17,9.539748953974895
1,3,0.861897249477508,97,68,18,9.640167364016737
1,3,0.501928398225137,90,69,11,8.93723849372385
1,3,1.5404182541529456,111,70,32,11.04602510460251
1,3,1.0330740485109593,101,71,22,10.0418410041841
1,3,0.8279350588780687,97,72,18,9.640167364016737
1,3,0.8678707499533639,98,73,19,9.740585774058577
1,3,0.8114591512063951,97,74,18,9.640167364016737
1,3,1.4176668700488197,110,75,31,10.94560669456067
1,3,0.5146130738277216,91,76,12,9.03765690376569
1,3,0.6484124730229291,94,77,15,9.338912133891213
1,3,0.9170404975609998,100,78,21,9.94142259414226
1,3,0.7262960740683119,96,79,17,9.539748953974895
1,3,0.6291539741616751,94,80,15,9.338912133891213
1,3,1.0232739994043816,103,81,24,10.242677824267782
1,3,0.7487696265206845,97,82,18,9.640167364016737
1,3,0.9593060273894416,102,83,23,10.142259414225942
1,3,0.7338691109529228,97,84,18,9.640167364016737
1,3,0.683793336323194,96,85,17,9.539748953974895
1,3,0.7615748283299573,98,86,19,9.740585774058577
1,3,0.7958456956048052,99,87,20,9.841004184100418
1,3,0.6634839904410588,96,88,17,9.539748953974895
1,3,0.4105307190854051,90,89,11,8.93723849372385
1,3,0.5283530354629165,93,90,14,9.238493723849372
1,3,0.5230695051082873,93,91,14,9.238493723849372
1,3,0.836508847015484,101,92,22,10.0418410041841
1,3,0.9070145926925032,103,93,24,10.242677824267782
1,3,0.6246570064456196,96,94,17,9.539748953974895
1,3,0.5411091318335179,94,95,15,9.338912133891213
1,3,0.38264145751084483,90,96,11,8.93723849372385
1,3,0.6818670772843255,98,97,19,9.740585774058577
1,3,0.37502689250637905,90,98,11,8.93723849372385
1,3,0.5569149353719729,95,99,16,9.439330543933055
1,3,0.7351277146910042,100,100,21,9.94142259414226
1,4,0,61,1,1,6.02510460251046
1,4,0,71,2,1,7.02928870292887
1,4,0.8769229456066946,89,3,10,8.836820083682008
1,4,1.0610767641841004,91,4,12,9.03765690376569
1,4,1.1459629053188283,92,5,13,9.138075313807532
1,4,1.890838793776067,100,6,21,9.94142259414226
1,4,1.9655269261302215,101,7,22,10.0418410041841
1,4,1.3899083263349423,95,8,16,9.439330543933055
1,4,1.376009243071593,95,9,16,9.439330543933055
1,4,1.7255155908117774,99,10,20,9.841004184100418
1,4,1.2587182151921703,94,11,15,9.338912133891213
1,4,1.2461310330402486,94,12,15,9.338912133891213
1,4,1.6742660522490767,99,13,20,9.841004184100418
1,4,0.6106665127413737,87,14,8,8.635983263598327
1,4,1.2954853877442,95,15,16,9.439330543933055
1,4,1.1970284982756407,94,16,15,9.338912133891213
1,4,0.7618231371168543,89,17,10,8.836820083682008
1,4,1.0894070860771017,93,18,14,9.238493723849372
1,4,1.6592507926405087,100,19,21,9.94142259414226
1,4,1.4783924562426933,98,20,19,9.740585774058577
1,4,0.7318042658401331,89,21,10,8.836820083682008
1,4,1.4489724463634637,98,22,19,9.740585774058577
1,4,1.6735631755498006,101,23,22,10.0418410041841
1,4,0.946758596453887,92,24,13,9.138075313807532
1,4,1.484044099941468,99,25,20,9.841004184100418
1,4,1.4692036589420532,99,26,20,9.841004184100418
1,4,0.5358727029720225,87,27,8,8.635983263598327
1,4,1.3641787952802062,98,28,19,9.740585774058577
1,4,1.2004773398465813,96,29,17,9.539748953974895
1,4,1.2627521018511227,97,30,18,9.640167364016737
1,4,1.1030511007346573,95,31,16,9.439330543933055
1,4,1.019219217078823,94,32,15,9.338912133891213
1,4,1.6576872552060573,103,33,24,10.242677824267782
1,4,0.7848788786606071,91,34,12,9.03765690376569
1,4,1.4834210806685477,101,35,22,10.0418410041841
1,4,1.1888560375072217,97,36,18,9.640167364016737
1,4,1.1077340961243758,96,37,17,9.539748953974895
1,4,0.4797873303838703,87,38,8,8.635983263598327
1,4,0.7464120039829069,91,39,12,9.03765690376569
1,4,0.873302044660001,93,40,14,9.238493723849372
1,4,0.598547785993893,89,41,10,8.836820083682008
1,4,1.3168051291865646,100,42,21,9.94142259414226
1,4,1.368818931789434,101,43,22,10.0418410041841
1,4,0.5162402828463007,88,44,9,8.736401673640167
1,4,1.4693489050512833,103,45,24,10.242677824267782
1,4,0.8221965394786965,93,46,14,9.238493723849372
1,4,0.7513611453082243,92,47,13,9.138075313807532
1,4,0.6198729448792849,90,48,11,8.93723849372385
1,4,1.5955529601192795,106,49,27,10.543933054393305
1,4,0.9720599572418994,96,50,17,9.539748953974895
1,4,1.3232166167955355,102,51,23,10.142259414225942
1,4,1.2504397028717813,101,52,22,10.0418410041841
1,4,0.7073916033388934,92,53,13,9.138075313807532
1,4,1.7507942182637608,110,54,31,10.94560669456067
1,4,0.6933145104324494,92,55,13,9.138075313807532
1,4,0.6863813653281249,92,56,13,9.138075313807532
1,4,0.6228910890352732,91,57,12,9.03765690376569
1,4,1.1212039602634918,100,58,21,9.94142259414226
1,4,1.109991920660857,100,59,21,9.94142259414226
